time, amp
232.704000,-49.657522
232.725333,-48.749899
232.746667,-52.602062
232.768000,-46.119808
232.789333,-46.088434
232.810667,-43.859452
232.832000,-43.291443
232.853333,-46.161837
232.874667,-44.908781
232.896000,-48.197806
232.917333,-53.892598
232.938667,-45.797262
232.960000,-49.550426
232.981333,-47.972965
233.002667,-45.191902
233.024000,-50.367841
233.045333,-45.315201
233.066667,-42.781449
233.088000,-52.740265
233.109333,-46.633569
233.130667,-44.565844
233.152000,-42.668288
233.173333,-48.655847
233.194667,-47.666406
233.216000,-49.851817
233.237333,-42.597247
233.258667,-39.403464
233.280000,-48.049960
233.301333,-45.616570
233.322667,-49.663622
233.344000,-51.604284
233.365333,-48.626464
233.386667,-48.241167
233.408000,-45.625729
233.429333,-43.573975
233.450667,-49.067059
233.472000,-48.701038
233.493333,-45.147221
233.514667,-46.481897
233.536000,-49.388094
233.557333,-50.940432
233.578667,-45.571238
233.600000,-48.377698
233.621333,-46.778055
233.642667,-46.277049
233.664000,-46.209626
233.685333,-45.291044
233.706667,-51.588018
233.728000,-46.346767
233.749333,-52.477336
233.770667,-51.301307
233.792000,-49.399564
233.813333,-44.779148
233.834667,-48.157500
233.856000,-45.670498
233.877333,-44.855585
233.898667,-44.395968
233.920000,-44.812928
233.941333,-47.345725
233.962667,-49.953942
233.984000,-52.912820
234.005333,-45.582794
234.026667,-44.698301
234.048000,-49.135586
234.069333,-49.855826
234.090667,-49.733620
234.112000,-52.489413
234.133333,-50.326067
234.154667,-46.165463
234.176000,-46.888035
234.197333,-48.926906
234.218667,-49.213174
234.240000,-50.874974
234.261333,-51.591682
234.282667,-45.822619
234.304000,-48.401560
234.325333,-44.971759
234.346667,-47.579015
234.368000,-50.465361
234.389333,-50.897156
234.410667,-48.773725
234.432000,-44.846071
234.453333,-49.636432
234.474667,-47.344059
234.496000,-47.410701
234.517333,-47.801568
234.538667,-47.969928
234.560000,-47.165578
234.581333,-45.417128
234.602667,-46.834157
234.624000,-46.906861
234.645333,-48.353391
234.666667,-51.299658
234.688000,-49.463052
234.709333,-46.263851
234.730667,-49.441680
234.752000,-48.553558
234.773333,-47.233326
234.794667,-50.881391
234.816000,-46.738933
234.837333,-51.416957
234.858667,-48.650890
234.880000,-46.045911
234.901333,-45.943968
234.922667,-47.072548
234.944000,-49.320307
234.965333,-48.382202
234.986667,-48.613602
235.008000,-44.105561
235.029333,-44.138327
235.050667,-47.214726
235.072000,-45.574416
235.093333,-48.882718
235.114667,-52.843299
235.136000,-48.274738
235.157333,-48.434028
235.178667,-46.563131
235.200000,-41.751604
235.221333,-50.143887
235.242667,-46.844099
235.264000,-44.053365
235.285333,-47.591177
235.306667,-49.244750
235.328000,-50.255050
235.349333,-48.513935
235.370667,-50.611485
235.392000,-47.630837
235.413333,-48.329940
235.434667,-48.106117
235.456000,-48.022705
235.477333,-47.869647
235.498667,-49.034730
235.520000,-52.036548
235.541333,-49.070032
235.562667,-46.235765
235.584000,-43.518969
235.605333,-50.087399
235.626667,-43.849142
235.648000,-47.096757
235.669333,-43.699019
235.690667,-49.535686
235.712000,-48.003183
235.733333,-48.540046
235.754667,-47.375406
235.776000,-48.585154
235.797333,-44.716817
235.818667,-44.320260
235.840000,-48.161767
235.861333,-49.375177
235.882667,-47.540084
235.904000,-48.299167
235.925333,-44.716035
235.946667,-47.605111
235.968000,-46.963402
235.989333,-44.565933
236.010667,-45.352782
236.032000,-50.139708
236.053333,-45.991706
236.074667,-50.264327
236.096000,-44.048751
236.117333,-49.084346
236.138667,-51.188559
236.160000,-52.039469
236.181333,-45.358085
236.202667,-47.093304
236.224000,-49.547249
236.245333,-44.796329
236.266667,-49.416892
236.288000,-48.518674
236.309333,-48.738070
236.330667,-50.058702
236.352000,-45.946320
236.373333,-48.295785
236.394667,-49.136908
236.416000,-46.913568
236.437333,-47.828870
236.458667,-51.075651
236.480000,-48.385262
236.501333,-49.262186
236.522667,-45.601370
236.544000,-45.869393
236.565333,-48.546807
236.586667,-48.922805
236.608000,-51.497973
236.629333,-52.085084
236.650667,-50.998586
236.672000,-49.532840
236.693333,-47.204229
236.714667,-49.734717
236.736000,-45.899412
236.757333,-48.503117
236.778667,-45.095278
236.800000,-45.288573
236.821333,-48.247556
236.842667,-43.929011
236.864000,-45.847346
236.885333,-47.839960
236.906667,-48.110142
236.928000,-47.847332
236.949333,-45.824418
236.970667,-47.667763
236.992000,-49.164983
237.013333,-50.360187
237.034667,-49.758236
237.056000,-47.001555
237.077333,-47.438317
237.098667,-45.892623
237.120000,-49.159922
237.141333,-48.696743
237.162667,-51.131271
237.184000,-46.152029
237.205333,-49.185057
237.226667,-47.050817
237.248000,-49.128770
237.269333,-41.262670
237.290667,-44.745481
237.312000,-48.546197
237.333333,-50.614194
237.354667,-48.367550
237.376000,-46.156740
237.397333,-43.965163
237.418667,-50.257062
237.440000,-46.325663
237.461333,-47.550637
237.482667,-48.102338
237.504000,-50.616594
237.525333,-46.804880
237.546667,-46.052020
237.568000,-42.969590
237.589333,-45.960488
237.610667,-47.864142
237.632000,-47.844487
